sum-product,0.248499125,0.251823054,0.247605573,0.248843352,0.249642011,0.250568783,0.250249663,0.249718688,0.250335076,0.252355673,0.249580563,0.249905912,0.249597098,0.24954034,0.249881966,0.249682902,0.254273938,0.249655295,0.249111382,0.250195267,0.248356781,0.250943723,0.25338657,0.250837848,0.249427679,0.252718595,0.249860286,0.250416496,0.250394806,0.248736466,0.251927569,0.24846903,0.25028531,0.249710379,0.250991721,0.252093554,0.250534029,0.249895212,0.248721471,0.246788069,0.25017525,0.2522449,0.252122077,0.249918429,0.252379679,0.251331788,0.248362979,0.250160561,0.250949613,0.250397495,0.250039121,0.248826251,0.248313408,0.248939128,0.249849289,0.249489981,0.251482016,0.249894117,0.252993098,0.247042698,0.24861947,0.250678962,0.24777922,0.247879647,0.252197069,0.249560619,0.249784715,0.251626131,0.248997412,0.249008345,0.252509488,0.24920463,0.248627124,0.247369946,0.249674247,0.247743746,0.249249552,0.249510638,0.248688583,0.252759961,0.252076736,0.25185889,0.248459852,0.250282145,0.252919719,0.249971094,0.24684416,0.250287195,0.250665259,0.251895013,0.247127031,0.249427897,0.252050198,0.2513537,0.248162845,0.248341779,0.252526675,0.2474192,0.252101361,0.251654229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max-min,0.442383392,0.449288013,0.438750041,0.444374765,0.445406848,0.446358594,0.446244679,0.445052811,0.44624943,0.451491765,0.4435694,0.445061467,0.445864877,0.44371909,0.445285485,0.444558547,0.45147542,0.446183743,0.44474852,0.444799703,0.44067039,0.447799372,0.452052156,0.449207217,0.445466121,0.451192695,0.446515187,0.445521845,0.446473132,0.446843329,0.447091337,0.441942486,0.444736906,0.445326546,0.445726416,0.449877941,0.44584614,0.446467733,0.441479667,0.43883954,0.446539937,0.448402008,0.450962136,0.444660656,0.450251624,0.445738723,0.441740088,0.446682893,0.448970205,0.445330086,0.44600035,0.442374614,0.444437266,0.441611683,0.444505037,0.444723453,0.447546514,0.446487058,0.450460057,0.441405017,0.443318061,0.447590003,0.443002743,0.441301151,0.449213837,0.443444014,0.445089784,0.44847412,0.444107506,0.443167819,0.451330729,0.443881993,0.442479654,0.44033538,0.444367232,0.442376667,0.442555765,0.443958596,0.442263756,0.449223793,0.451696521,0.449618949,0.43992181,0.445841932,0.450693646,0.445483262,0.439457209,0.447247241,0.447411138,0.448748304,0.439891198,0.441399236,0.450054923,0.448895851,0.442065302,0.440763384,0.45040726,0.440036762,0.448868656,0.450070347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alt,0.616256046,0.619206702,0.609850916,0.615576394,0.615574913,0.617816531,0.616804655,0.616236932,0.616514293,0.619669977,0.614737297,0.614836736,0.617017368,0.615433586,0.617457257,0.615734218,0.617094235,0.617272621,0.616533965,0.614411222,0.614790609,0.619915749,0.621401411,0.621451282,0.618919667,0.618073918,0.617399679,0.616418295,0.616726394,0.621902223,0.615546598,0.612794911,0.613760908,0.616174163,0.612971157,0.619211088,0.612538915,0.61741365,0.61324089,0.611429364,0.618087331,0.615570673,0.620314836,0.615453091,0.618756046,0.615281525,0.612351577,0.618039442,0.620359131,0.614963418,0.617669449,0.613296119,0.619781306,0.612435179,0.616503442,0.61453598,0.617599721,0.615997625,0.616456454,0.618234766,0.615471393,0.618349657,0.617719556,0.615008059,0.618178276,0.615322343,0.616585306,0.617389846,0.615519497,0.616675312,0.618919015,0.616305033,0.613979446,0.614715953,0.616664377,0.615370677,0.612963445,0.61664054,0.613669126,0.617638596,0.622004586,0.619533937,0.609785138,0.614350987,0.618378961,0.616478647,0.615288429,0.61841792,0.618320147,0.618245246,0.613529408,0.610734975,0.618174211,0.619348665,0.616331878,0.612270922,0.618095858,0.613260249,0.617283146,0.620829807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spmmDelta,-0.193884267,-0.197464959,-0.191144468,-0.195531413,-0.195764837,-0.195789811,-0.195995016,-0.195334123,-0.195914354,-0.199136092,-0.193988837,-0.195155555,-0.196267778,-0.19417875,-0.19540352,-0.194875645,-0.197201482,-0.196528448,-0.195637139,-0.194604437,-0.19231361,-0.196855649,-0.198665586,-0.198369369,-0.196038442,-0.1984741,-0.196654901,-0.195105349,-0.196078326,-0.198106864,-0.195163768,-0.193473457,-0.194451596,-0.195616167,-0.194734694,-0.197784387,-0.195312111,-0.196572521,-0.192758196,-0.192051471,-0.196364687,-0.196157109,-0.198840058,-0.194742227,-0.197871945,-0.194406936,-0.193377109,-0.196522332,-0.198020592,-0.194932591,-0.195961229,-0.193548362,-0.196123859,-0.192672555,-0.194655748,-0.195233472,-0.196064498,-0.196592941,-0.197466959,-0.194362319,-0.194698591,-0.19691104,-0.195223523,-0.193421504,-0.197016767,-0.193883395,-0.195305069,-0.196847989,-0.195110094,-0.194159474,-0.198821242,-0.194677363,-0.19385253,-0.192965434,-0.194692985,-0.19463292,-0.193306213,-0.194447958,-0.193575173,-0.196463832,-0.199619786,-0.197760059,-0.191461958,-0.195559787,-0.197773927,-0.195512168,-0.192613049,-0.196960046,-0.196745879,-0.196853291,-0.192764166,-0.191971339,-0.198004725,-0.197542151,-0.193902457,-0.192421606,-0.197880584,-0.192617562,-0.196767295,-0.198416117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaDelta,-0.367756921,-0.367383647,-0.362245343,-0.366733042,-0.365932902,-0.367247748,-0.366554992,-0.366518244,-0.366179217,-0.367314305,-0.365156734,-0.364930824,-0.367420269,-0.365893246,-0.367575292,-0.366051316,-0.362820297,-0.367617327,-0.367422584,-0.364215955,-0.366433829,-0.368972026,-0.368014841,-0.370613434,-0.369491988,-0.365355323,-0.367539393,-0.366001799,-0.366331588,-0.373165758,-0.363619029,-0.364325881,-0.363475597,-0.366463784,-0.361979436,-0.367117534,-0.362004886,-0.367518438,-0.364519419,-0.364641295,-0.36791208,-0.363325773,-0.368192758,-0.365534661,-0.366376367,-0.363949738,-0.363988598,-0.367878881,-0.369409518,-0.364565923,-0.367630327,-0.364469867,-0.371467899,-0.363496051,-0.366654153,-0.365045999,-0.366117705,-0.366103509,-0.363463355,-0.371192068,-0.366851924,-0.367670695,-0.369940336,-0.367128412,-0.365981207,-0.365761724,-0.366800591,-0.365763715,-0.366522085,-0.367666966,-0.366409528,-0.367100403,-0.365352322,-0.367346007,-0.36699013,-0.36762693,-0.363713892,-0.367129902,-0.364980543,-0.364878636,-0.369927851,-0.367675048,-0.361325286,-0.364068842,-0.365459243,-0.366507553,-0.368444269,-0.368130725,-0.367654887,-0.366350232,-0.366402376,-0.361307078,-0.366124012,-0.367994965,-0.368169033,-0.363929143,-0.365569183,-0.365841049,-0.365181785,-0.369175577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmaDelta,-0.173872654,-0.169918688,-0.171100875,-0.171201629,-0.170168065,-0.171457938,-0.170559976,-0.171184121,-0.170264863,-0.168178212,-0.171167897,-0.16977527,-0.171152491,-0.171714495,-0.172171772,-0.171175671,-0.165618815,-0.171088878,-0.171785445,-0.169611518,-0.174120219,-0.172116377,-0.169349255,-0.172244065,-0.173453546,-0.166881223,-0.170884492,-0.17089645,-0.170253262,-0.175058894,-0.168455261,-0.170852425,-0.169024002,-0.170847617,-0.167244742,-0.169333146,-0.166692775,-0.170945918,-0.171761223,-0.172589824,-0.171547393,-0.167168664,-0.1693527,-0.170792435,-0.168504422,-0.169542802,-0.170611489,-0.171356549,-0.171388926,-0.169633332,-0.171669098,-0.170921505,-0.17534404,-0.170823496,-0.171998404,-0.169812527,-0.170053206,-0.169510567,-0.165996397,-0.176829749,-0.172153332,-0.170759654,-0.174716813,-0.173706908,-0.168964439,-0.17187833,-0.171495522,-0.168915726,-0.171411991,-0.173507492,-0.167588286,-0.17242304,-0.171499792,-0.174380572,-0.172297145,-0.17299401,-0.17040768,-0.172681944,-0.171405369,-0.168414803,-0.170308065,-0.169914989,-0.169863328,-0.168509055,-0.167685316,-0.170995385,-0.17583122,-0.171170679,-0.170909009,-0.169496942,-0.17363821,-0.169335739,-0.168119287,-0.170452814,-0.174266576,-0.171507537,-0.167688599,-0.173223487,-0.16841449,-0.17075946
